ICD10_diagnosis_code	trait_description	phecode	Inclusion/Exclusion	phenotype
J45	Asthma	495	Inclusion	Asthma
J45.2	Mild intermittent asthma	495	Inclusion	Asthma
J45.20	Mild intermittent asthma, uncomplicated	495	Inclusion	Asthma
J45.21	Mild intermittent asthma with (acute) exacerbation	495.2	Inclusion	Asthma
J45.22	Mild intermittent asthma with status asthmaticus	495.2	Inclusion	Asthma
J45.3	Mild persistent asthma	495	Inclusion	Asthma
J45.30	Mild persistent asthma, uncomplicated	495	Inclusion	Asthma
J45.31	Mild persistent asthma with (acute) exacerbation	495.2	Inclusion	Asthma
J45.32	Mild persistent asthma with status asthmaticus	495.2	Inclusion	Asthma
J45.4	Moderate persistent asthma	495	Inclusion	Asthma
J45.40	Moderate persistent asthma, uncomplicated	495	Inclusion	Asthma
J45.41	Moderate persistent asthma with (acute) exacerbation	495.2	Inclusion	Asthma
J45.42	Moderate persistent asthma with status asthmaticus	495.2	Inclusion	Asthma
J45.5	Severe persistent asthma	495	Inclusion	Asthma
J45.50	Severe persistent asthma, uncomplicated	495	Inclusion	Asthma
J45.51	Severe persistent asthma with (acute) exacerbation	495.2	Inclusion	Asthma
J45.52	Severe persistent asthma with status asthmaticus	495.2	Inclusion	Asthma
J45.9	Other and unspecified asthma	495	Inclusion	Asthma
J45.90	Unspecified asthma	495	Inclusion	Asthma
J45.901	Unspecified asthma with (acute) exacerbation	495.2	Inclusion	Asthma
J45.902	Unspecified asthma with status asthmaticus	495.2	Inclusion	Asthma
J45.909	Unspecified asthma, uncomplicated	495	Inclusion	Asthma
J45.99	Other asthma	495	Inclusion	Asthma
J45.990	Exercise induced bronchospasm	495.2	Inclusion	Asthma
J45.991	Cough variant asthma	495	Inclusion	Asthma
J45.998	Other asthma	495	Inclusion	Asthma
J40	Bronchitis, not specified as acute or chronic	497	Exclusion	Asthma
J41	Simple and mucopurulent chronic bronchitis	496.2	Exclusion	Asthma
J41.0	Simple chronic bronchitis	496.2	Exclusion	Asthma
J41.1	Mucopurulent chronic bronchitis	496.2	Exclusion	Asthma
J41.8	Mixed simple and mucopurulent chronic bronchitis	496.2	Exclusion	Asthma
J42	Unspecified chronic bronchitis	496.2	Exclusion	Asthma
J43	Emphysema	496.1	Exclusion	Asthma
J43.0	Unilateral pulmonary emphysema [MacLeods syndrome]	496.1	Exclusion	Asthma
J43.1	Panlobular emphysema	496.1	Exclusion	Asthma
J43.2	Centrilobular emphysema	496.1	Exclusion	Asthma
J43.8	Other emphysema	496.1	Exclusion	Asthma
J43.9	Emphysema, unspecified	496.1	Exclusion	Asthma
J44	Other chronic obstructive pulmonary disease	496.21	Exclusion	Asthma
J44.0	Chronic obstructive pulmonary disease with acute lower respiratory infection	496.21	Exclusion	Asthma
J44.1	Chronic obstructive pulmonary disease with (acute) exacerbation	496.21	Exclusion	Asthma
J44.9	Chronic obstructive pulmonary disease, unspecified	496	Exclusion	Asthma
J45	Asthma	495	Exclusion	Asthma
J45.2	Mild intermittent asthma	495	Exclusion	Asthma
J45.20	Mild intermittent asthma, uncomplicated	495	Exclusion	Asthma
J45.21	Mild intermittent asthma with (acute) exacerbation	495.2	Exclusion	Asthma
J45.22	Mild intermittent asthma with status asthmaticus	495.2	Exclusion	Asthma
J45.3	Mild persistent asthma	495	Exclusion	Asthma
J45.30	Mild persistent asthma, uncomplicated	495	Exclusion	Asthma
J45.31	Mild persistent asthma with (acute) exacerbation	495.2	Exclusion	Asthma
J45.32	Mild persistent asthma with status asthmaticus	495.2	Exclusion	Asthma
J45.4	Moderate persistent asthma	495	Exclusion	Asthma
J45.40	Moderate persistent asthma, uncomplicated	495	Exclusion	Asthma
J45.41	Moderate persistent asthma with (acute) exacerbation	495.2	Exclusion	Asthma
J45.42	Moderate persistent asthma with status asthmaticus	495.2	Exclusion	Asthma
J45.5	Severe persistent asthma	495	Exclusion	Asthma
J45.50	Severe persistent asthma, uncomplicated	495	Exclusion	Asthma
J45.51	Severe persistent asthma with (acute) exacerbation	495.2	Exclusion	Asthma
J45.52	Severe persistent asthma with status asthmaticus	495.2	Exclusion	Asthma
J45.9	Other and unspecified asthma	495	Exclusion	Asthma
J45.90	Unspecified asthma	495	Exclusion	Asthma
J45.901	Unspecified asthma with (acute) exacerbation	495.2	Exclusion	Asthma
J45.902	Unspecified asthma with status asthmaticus	495.2	Exclusion	Asthma
J45.909	Unspecified asthma, uncomplicated	495	Exclusion	Asthma
J45.99	Other asthma	495	Exclusion	Asthma
J45.990	Exercise induced bronchospasm	495.2	Exclusion	Asthma
J45.991	Cough variant asthma	495	Exclusion	Asthma
J45.998	Other asthma	495	Exclusion	Asthma
J47	Bronchiectasis	496.3	Exclusion	Asthma
J47.0	Bronchiectasis with acute lower respiratory infection	496.3	Exclusion	Asthma
